City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
152,nuuk,64.1835,-51.7216,4.34,87.0,75.0,2.57,GL,1719006168.0
153,georgetown,5.4112,100.3354,24.96,88.0,40.0,2.06,MY,1719006159.0
154,mount pearl,47.5166,-52.7813,16.19,80.0,75.0,2.06,CA,1719005893.0
155,haiku-pauwela,20.9219,-156.3051,29.57,64.0,20.0,12.35,US,1719006171.0
156,whitehorse,60.7161,-135.0538,19.5,39.0,75.0,4.12,CA,1719006172.0
157,hasaki,35.7333,140.8333,20.22,76.0,96.0,1.87,JP,1719006174.0
158,west island,-12.1568,96.8225,27.99,78.0,20.0,5.14,CC,1719006175.0
159,cidreira,-30.1811,-50.2056,18.4,96.0,92.0,7.45,BR,1719006176.0
160,inhambane,-23.865,35.3833,20.74,82.0,2.0,2.84,MZ,1719006177.0
161,happy valley-goose bay,53.3168,-60.3315,16.17,41.0,75.0,5.66,CA,1719006178.0
162,keflavik,64.0049,-22.5624,12.95,87.0,100.0,3.09,IS,1719006179.0
163,lompoc,34.6391,-120.4579,27.05,72.0,0.0,5.66,US,1719006181.0
164,port moresby,-9.4431,147.1797,23.88,83.0,100.0,2.51,PG,1719006144.0
165,ijuw,,,,,,,,
166,puerto ayora,-0.7393,-90.3518,24.98,92.0,78.0,3.58,EC,1719006184.0
167,st. john's,47.5649,-52.7093,16.66,81.0,75.0,2.06,CA,1719005898.0
168,san andres,12.5847,-81.7006,30.01,79.0,20.0,3.6,CO,1719006186.0
169,dedougou,12.4667,-3.4667,32.41,45.0,95.0,3.46,BF,1719006188.0
170,college,64.8569,-147.8028,22.18,49.0,75.0,6.17,US,1719006189.0
171,martapura,-3.4167,114.85,24.05,94.0,95.0,1.03,ID,1719006190.0
172,okhotsk,59.3833,143.3,9.5,87.0,100.0,1.72,RU,1719006191.0
173,atafu village,-8.5421,-172.5159,28.87,76.0,100.0,4.97,TK,1719006192.0
174,weno,7.4515,151.8468,27.97,78.0,40.0,3.09,FM,1719006193.0
175,invercargill,-46.4,168.35,5.01,91.0,52.0,0.45,NZ,1719006194.0
176,vila franca do campo,37.7167,-25.4333,20.23,99.0,47.0,1.61,PT,1719006196.0
177,roswell,34.0232,-84.3616,34.12,46.0,0.0,3.09,US,1719006197.0
178,tymovskoye,50.8456,142.655,10.43,78.0,77.0,1.16,RU,1719006198.0
179,minas de marcona,-15.2119,-75.1103,14.45,77.0,11.0,6.44,PE,1719006199.0
180,madras,13.0878,80.2785,28.36,82.0,40.0,2.57,IN,1719006200.0
181,virginia,37.5481,-77.4467,36.4,44.0,20.0,4.12,US,1719006201.0
182,quelimane,-17.8786,36.8883,18.27,95.0,42.0,1.22,MZ,1719006203.0
183,harstad,68.799,16.5293,9.66,94.0,100.0,4.02,NO,1719006204.0
184,alice springs,-23.7,133.8833,5.75,93.0,0.0,2.06,AU,1719006056.0
185,anan,33.9167,134.65,20.88,88.0,59.0,3.6,JP,1719006206.0
186,nova prata,-28.7839,-51.61,17.93,94.0,95.0,1.75,BR,1719006207.0
187,saratamata,,,,,,,,
188,kansanshi,-12.0951,26.4273,13.57,63.0,0.0,2.19,ZM,1719006210.0
189,george town,5.4112,100.3354,24.96,88.0,40.0,2.06,MY,1719006159.0
190,vorgashor,67.5833,63.95,6.7,96.0,100.0,3.72,RU,1719006212.0
191,barah,13.7,30.3667,31.23,43.0,100.0,7.31,SD,1719006213.0
192,kataragama,,,,,,,,
193,kijang,35.2442,129.2139,21.85,93.0,100.0,2.16,KR,1719005953.0
194,kununurra,-15.7667,128.7333,17.99,63.0,52.0,3.09,AU,1719006166.0
195,port douglas,-16.4833,145.4667,21.89,80.0,94.0,2.96,AU,1719006218.0
196,bocaiuva,-17.1078,-43.815,23.84,60.0,92.0,3.47,BR,1719006075.0
197,taiohae,,,,,,,,
198,changji,44.0167,87.3167,23.44,27.0,0.0,1.0,CN,1719006221.0
